data_format,development_key,status,year_completed,street_address,property_id,floors_above,town_planning_application,longitude,latitude
Post Oct 2022,X0015200,APPROVED,,505-515 Little Collins Street MELBOURNE VIC 3000,105940,0,TP-2023-733,144.9577987,-37.81719661
Post Oct 2022,X0014205,APPROVED,,"Lonsdale Court 600 Lonsdale Street, Melbourne, 3000",105720,40,TPMR-2019-20/D,144.9542959,-37.81419965
Post Oct 2022,X0014706,APPROVED,,"60 Collins Street, Melbourne, 3000",102164,38,TPMR-2019-25/C,144.9716239,-37.81362025
Post Oct 22,X0014005,APPROVED,,559-577 King Street WEST MELBOURNE VIC 3003,105347,6,TPM-2022-20,144.9497506,-37.80696616
Post May 16,X0011804,APPROVED,,"620-648 Little Bourke Street, Melbourne, 3000",110704,25,TP-2021-709,144.9535766,-37.81572243
Post May 16,X0006802,APPROVED,,"180-194 Kensington Road, West Melbourne, 3003",105232,0,TP-2019-246,144.9171858,-37.79957845
Post May 16,X0006803,APPROVED,,"180-194 Kensington Road, West Melbourne, 3003",105232,0,TP-2019-246,144.9171858,-37.79957845
Post May 16,X0013402,APPROVED,,"292 City Road, Southbank, 3006",110396,28,TP-2019-979/A,144.9586155,-37.82675831
Post May 16,X0013403,APPROVED,,"490 Flinders Street, Melbourne, 3000",103996,24,TP-2022-358,144.9579911,-37.81995062
Post May 16,X0007413,APPROVED,,"42 Moray Street, Southbank, 3006",110635,56,TPMR-2016-22/A,144.9604137,-37.82754797
Post Oct 2022,X0014801,APPROVED,,"680 Elizabeth Street, Melbourne, 3000",103265,20,TP-2020-609/A,144.9583656,-37.80249304
Post Oct 2022,X0014300,APPROVED,,"Langham Hotel, 1 Southgate Avenue, Southbank, 3006",110323,1,TP-2023-75,144.9663018,-37.82070671
Post Oct 22,X0013703,APPROVED,,"82-84 Jolimont Street, East Melbourne, 3002",105134,6,TP-2022-474,144.979993,-37.81822581
Post May 16,X000769,APPROVED,,85-93 Lorimer Street DOCKLANDS VIC 3008,110530,43,TPM-2014-19/A,144.9414558,-37.82447858
Post Oct 2022,X0014201,APPROVED,,386-412 William Street MELBOURNE VIC 3000,104089,34,TPM-2013-28/C,144.9561274,-37.80984028
Post Oct 2022,X0014202,APPROVED,,386-412 William Street MELBOURNE VIC 3000,104089,3,TPM-2013-28/C,144.9561274,-37.80984028
Post May 16,X0011606,APPROVED,,51-65 Clarke Street SOUTHBANK VIC 3006,110463,70,TPM-2016-4/B,144.9597,-37.8273
Post May 16,X0013001,APPROVED,,"186-190 Lygon Street, Carlton, 3053",106239,6,TP-2022-195,144.9669213,-37.80264008
Post Oct 22,X0014010,APPROVED,,"Hotel Grand Chancellor/Lonsdale Heights Apartments, 131-137 Lonsdale Street, Melbourne, 3000",105679,3,TP-2019-712/A,144.9685148,-37.81092689
Post May 16,X0011210,APPROVED,,"355-369 Spencer Street, West Melbourne, 3003",598605,20,TPM-2019-4/A,144.9504,-37.8119
Post May 16,X0011211,APPROVED,,"355-369 Spencer Street, West Melbourne, 3003",598605,6,TPM-2019-4/A,144.9504,-37.8119
Post Oct 22,X0014007,APPROVED,,274-278 Little Lonsdale Street MELBOURNE VIC 3000,106045,32,TP-2016-290/A,144.9611832,-37.81117946
Post May 16,X0010600,APPROVED,,"101 Powlett Street, East Melbourne, 3002",107632,3,TP-2021-110,144.9853029,-37.81337466
Post May 16,X0012802,APPROVED,,162-188 Turner Street PORT MELBOURNE VIC 3207,110555,32,ID-2022-2,144.9322526,-37.8249071
Post May 16,X0012804,APPROVED,,162-188 Turner Street PORT MELBOURNE VIC 3207,110555,41,ID-2022-2,144.9322526,-37.8249071
Post May 16,X0012806,APPROVED,,162-188 Turner Street PORT MELBOURNE VIC 3207,110555,53,ID-2022-2,144.9322526,-37.8249071
Post May 16,X0005800,APPROVED,,"501-509 King Street, West Melbourne, 3003",105338,5,TP-2019-22,144.9511,-37.8081
Post May 16,X0012809,APPROVED,,"41-47 Walsh Street, South Yarra, 3141",109873,4,TP-2022-143,144.9846478,-37.83689531
Post May 16,X0013202,APPROVED,,"114-118 Miller Street, West Melbourne, 3003",106597,3,TP-2022-272,144.9438011,-37.8052711
Post May 16,X0003801,APPROVED,,695-699 La Trobe Street DOCKLANDS VIC 3008,589576,27,TPD-2010-9/C,144.9456129,-37.81519136
Post May 16,X0011201,APPROVED,,"28 Clarendon Street, Southbank, 3006",110485,26,TP-2021-345,144.9563174,-37.82493678
Post May 16,X0011608,APPROVED,,"50 The Avenue, Parkville, 3052",100624,3,TP-2021-629,144.9574563,-37.78703649
Post May 16,X0005614,APPROVED,,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,105746,14,ID-2018-3,144.9627706,-37.81050923
Post May 16,X0012801,APPROVED,,"Brunton Avenue, East Melbourne, 3002",110264,4,ID-2022-1,144.9872722,-37.81975517
Post May 16,X0007801,APPROVED,,"9-101 Alfred Street, North Melbourne, 3051",616891,12,TPM-2019-28,144.9381455,-37.79097555
Post May 16,X0009216,APPROVED,,"12 Riverside Quay, Southbank, 3006",110333,30,ID-2020-4,144.9647448,-37.8207003
Post May 16,X0010003,APPROVED,,"25-35 Power Street, Southbank, 3006",575159,51,ID-2020-7,144.961857,-37.82320413
Post May 16,X0011207,APPROVED,,"570-576 Little Bourke Street, Melbourne, 3000",105384,22,TPMR-2021-11,144.9553,-37.8148
Post May 16,X0011401,APPROVED,,266-270 Queen Street MELBOURNE VIC 3000,108095,18,TP-2021-465,144.9598385,-37.81227452
Post May 16,X0007605,APPROVED,,"363 King Street, West Melbourne, 3003",105324,16,TP-2019-834,144.9532647,-37.81183421
Post May 16,X0003601,APPROVED,,372-378 Little Bourke Street MELBOURNE VIC 3000,105871,18,TP-2018-120,144.9614805,-37.81342468
Post May 16,X0011605,APPROVED,,293-297 City Road SOUTHBANK VIC 3006,110376,38,TPM-2015-28/A,144.9588,-37.8276
Post May 16,X0010001,APPROVED,,"140-142 Jolimont Road, East Melbourne, 3002",105125,9,TP-2020-736,144.9792237,-37.81730504
Post May 16,X0011000,APPROVED,,"41-45 A'Beckett Street, Melbourne, 3000",100151,8,TP-2021-253,144.9622607,-37.8090434
Post May 16,X0009408,APPROVED,,87-89 Flemington Road NORTH MELBOURNE VIC 3051,103821,13,TP-2016-378/A,144.953,-37.7987
Post May 16,X0010602,APPROVED,,"366-422 Abbotsford Street, North Melbourne, 3051",100108,5,TPM-2021-5,144.9468176,-37.79748714
Post May 16,X0001651,APPROVED,,6 Marne Street SOUTH YARRA VIC 3141,106467,3,TP-2017-185,144.9840404,-37.83741687
Post May 16,X0009402,APPROVED,,24-28 Chetwynd Street WEST MELBOURNE VIC 3003,101967,4,TP-2017-145/A,144.9522,-37.8073
Post May 16,X0009406,APPROVED,,"396-400 Spencer Street, West Melbourne, 3003",108949,13,TP-2020-549,144.9508615,-37.81114222
Post May 16,X0008014,APPROVED,,81-89 Bouverie Street CARLTON VIC 3053,101244,9,TP-2017-402/A,144.9614,-37.8046
Post May 16,X0008606,APPROVED,,310-324 Ingles Street PORT MELBOURNE VIC 3207,110580,2,TP-2015-578/A,144.937,-37.8248
Post May 16,X0008608,APPROVED,,175-187 Sturt Street SOUTHBANK VIC 3006,110617,17,TP-2016-596/A,144.9663,-37.8287
Post May 16,X0008003,APPROVED,,"470 Bourke Street, Melbourne, 3000",101181,11,TP-2019-968,144.9596951,-37.81469626
Post May 16,X0008815,APPROVED,,272-282 Queen Street MELBOURNE VIC 3000,108094,67,TPM-2014-46/A,144.9598,-37.8121
Post May 16,X0007416,APPROVED,,"103 Boundary Road, North Melbourne, 3051",616849,12,TPM-2019-22,144.9392591,-37.7913417
Post May 16,X0006202,APPROVED,,"685 Elizabeth Street, Melbourne, 3000",103254,19,TPM-2019-5,144.9570695,-37.80230894
Post May 16,X0007425,APPROVED,,"118 City Road, Southbank, 3006",110384,100,TPMR-2019-24/B,144.9629471,-37.8229282
Post May 16,X0006408,APPROVED,,"10 Radcliffe Street, West Melbourne, 3003",108120,2,TP-2019-307/A,144.9321014,-37.80259465
Post May 16,X0002608,APPROVED,,7-19 Alfred Place MELBOURNE VIC 3000,100398,23,TP-2017-798,144.9699104,-37.81401286
Post May 16,X0006601,APPROVED,,"42-52 Walsh Street, West Melbourne, 3003",109949,0,TP-2019-399,144.9529221,-37.80813094
